sys_updated_at,name,source,source_url,standard_province,standard_prefecture,standard_county,address,x,y,confirmed
2020-02-05 15:44:43.721379+08,中洲万豪酒店,南方都市报,https://mp.weixin.qq.com/s/KkYpkD4oV997_ZPNRa0vHg,广东省,深圳市,南山区,广东省深圳南山区中洲万豪酒店,113.933144,22.517711,-1
2020-02-05 15:38:37.595629+08,古沛镇,腾讯看点,https://ncov.html5.qq.com/community,安徽省,滁州市,明光市,安徽省滁州市明光市古沛镇,118.044824,32.980911,1
2020-02-05 15:29:47.549209+08,城北镇,腾讯看点,https://ncov.html5.qq.com/community,广东省,梅州市,兴宁市,广东省梅州市梅江区城北镇五洲城喜多多超市,115.723714,24.147861,1
2020-02-05 14:58:24.89277+08,清水江卫生院,腾讯看点,https://ncov.html5.qq.com/community,湖南省,株洲市,醴陵市,湖南省株洲市醴陵市清水江卫生院,113.555203,27.46658,2
2020-02-05 15:18:16.303959+08,车桥镇,腾讯看点,https://ncov.html5.qq.com/community,江西省,九江市,德安县,江西省九江市德安县车桥镇,115.465705,29.356345,1
2020-02-05 14:56:19.324097+08,太平村,腾讯看点,https://ncov.html5.qq.com/community,福建省,泉州市,德化县,福建省泉州市永春县东平镇太平村,118.157261,25.587143,-1
2020-02-05 15:51:48.466242+08,淡水街道人民四路天安珑城,惠州日报,https://mp.weixin.qq.com/s/o7hxc0RTqyeOCeVSg4j6xA,广东省,惠州市,惠阳区,广东省惠州惠阳区淡水街道人民四路天安珑城,114.460631,22.795665,-1
2020-02-05 14:59:15.850404+08,澧澹街道,腾讯看点,https://ncov.html5.qq.com/community,湖南省,常德市,澧县,湖南省常德市澧县澧澹街道,111.828064,29.635116,2
2020-02-05 15:46:47.819083+08,红旗镇东方润园,珠海发布,https://mp.weixin.qq.com/s/KG8arbEJDtwduYzfG3sTfA,广东省,珠海市,金湾区,广东省珠海金湾区红旗镇东方润园,113.34366,22.134191,-1
2020-02-05 15:37:02.570002+08,阳光城,腾讯看点,https://ncov.html5.qq.com/community,安徽省,马鞍山市,当涂县,安徽省马鞍山市雨山区阳光城,118.500496,31.557878,1
2020-02-05 14:55:12.154714+08,钟鼓楼街道,腾讯看点,https://ncov.html5.qq.com/community,重庆市,重庆市,万州区,重庆市万州区钟鼓楼街道,108.388612,30.823483,8
2020-02-05 15:44:26.186012+08,南山街道阳光棕榈园,南方都市报,https://mp.weixin.qq.com/s/KkYpkD4oV997_ZPNRa0vHg,广东省,深圳市,南山区,广东省深圳南山区南山街道阳光棕榈园,113.913264,22.523486,-1
2020-02-05 14:55:56.611181+08,上库,腾讯看点,https://ncov.html5.qq.com/community,福建省,莆田市,仙游县,福建省莆田市仙游县龙华镇金沙村上库,118.575704,25.319777,-1
2020-02-05 15:15:43.981813+08,孙家,腾讯看点,https://ncov.html5.qq.com/community,江西省,南昌市,南昌县,江西省南昌市高新技术产业开发区麻丘镇孙家,116.038885,28.581327,1
2020-02-05 15:17:14.140388+08,豫章街道,腾讯看点,https://ncov.html5.qq.com/community,江西省,南昌市,东湖区,江西省南昌市东湖区豫章街道,115.894138,28.689448,1
2020-02-05 15:43:44.328744+08,流花街道,广州市卫健委,http://wjw.gz.gov.cn/ztzl/xxfyyqfk/yqtb/content/post_5650395.html,广东省,广州市,越秀区,广东省广州越秀区流花街道,113.262787,23.148091,-1
2020-02-05 15:08:06.378815+08,沙固新村,腾讯看点,https://ncov.html5.qq.com/community,河南省,郑州市,上街区,河南省郑州市上街区沙固新村,113.261653,34.832163,1
2020-02-05 15:00:22.69074+08,夏万路居委会,腾讯看点,https://ncov.html5.qq.com/community,湖南省,岳阳市,岳阳楼区,湖南省岳阳市岳阳楼区金鹗山街道夏万路居委会,113.115402,29.355248,1
2020-02-05 15:16:24.284964+08,文港镇,腾讯看点,https://ncov.html5.qq.com/community,江西省,南昌市,进贤县,江西省南昌市进贤县文港镇,116.114986,28.285791,3
2020-02-05 15:51:54.218553+08,桥东街道东方威尼斯,惠州日报,https://mp.weixin.qq.com/s/o7hxc0RTqyeOCeVSg4j6xA,广东省,惠州市,惠城区,广东省惠州惠城区桥东街道东方威尼斯,114.437523,23.087775,-1
2020-02-05 15:33:27.677365+08,凯茵新城,腾讯看点,https://ncov.html5.qq.com/community,广东省,中山市,,广东省中山市火炬区开发区凯茵新城,113.459295,22.501273,1
